sample	r_nnls	r_simplex	l1	l2
ACB1	0.0000047872448642332	0.00000922507837309523	0.000034008626749512	0.0000210417688206903
ACB2	0.0000305357282340696	0.0000125130888751049	0.000333884419145423	0.000198416830517674
ACB4	0.00000875169807983868	0.00000840370142748999	0.0000290066702273496	0.0000177634668072391
ACB5	0.0000114738727775207	0.0000102071760594454	0.000104336233880703	0.0000639580614201285
ACB7	0.0000035202435466647	0.00000313236406663701	0.0000303819290008575	0.0000188356767060238
ACB8	0.00000974863222645726	0.0000094602113533591	0.0000531038952189256	0.0000375501244167221
ACB11	0.0000147954717765263	0.0000138800352971476	0.0000000108228514379693	0.0000000076529116435627
ACB12	0.0000114311734729848	0.0000129333177754302	0.0000603316838702697	0.0000378227463538098
ACB14	0.00000834425935492993	0.000010654961193305	0.0000463504111157115	0.0000327746900107039
ACB16	0.00000566519916266412	0.00000647124501650088	0.000036053209341757	0.000022245031784874
ACB18	0.00000690381368732592	0.00000524414491371147	0.000249166602153786	0.000147976617349189
ACB19	0.00000755925631195679	0.00000858109878108708	0.000079860789476709	0.0000490927482450629
ACB20	0.00000431038245574912	0.00000595762567466862	0.0000449609480729527	0.000029591155408878
ACB22	0.0000232317848340666	0.0000210677908820152	0.0000345037133164111	0.0000243978096621509
ACB23	0.0000306743603384666	0.000032031312803454	0.000130083329843421	0.0000796612741044707
ACB26	0.00000717238556278966	0.00000709855039487237	0.0000393261422735741	0.0000278077818795512
ACB27	0.0000448465970367496	0.0000385678056526508	0.0000577997051979112	0.0000408705634960264
ACB29	0.000129318220977009	0.0000694735322350731	0.000297968035063434	0.000210695218170185
ACB30	0.000033731073159438	0.0000249665569726468	0.00012223248431655	0.0000763056432854085
ACB31	0.0000158404790508722	0.0000158406128926092	0.0000544052323961713	0.0000379745616738788
ACB32	0.0000247126991256922	0.0000395038472948478	0.000098888428509324	0.0000613924343875882
ACB33	0.0000111802920488235	0.00000968037330795517	0.0000660771905201807	0.0000467236294985752
ACB35	0.0000120844007126767	0.0000140471015744486	0.0000513654409206588	0.0000363208515936348
ACB36	0.0000120393641447526	0.0000108969822253559	0.0000123633223909347	0.00000874218910062543
ACB37	0.00000619157427228191	0.00000830162966546448	0.000292600321971282	0.000166689585027669
ACB38	0.00000420180558510822	0.00000590818834390018	0.0000274182522427837	0.0000168549337687139
ACB39	0.000036963554712844	0.0000354037469255752	0.0000124453225577616	0.00000880017197464711
ACB40	0.000015116527456917	0.0000172813728008794	0.000021428154547129	0.0000151519933885883
